fold,preproc,best_hp,fold_pred_mean,fold_pred_std,fold_rmse,chain,n_estimators,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda
10,EMSC,"(60, 0.1579076234172584, 5, 1, 0.4868777594207297, 0.6163856702151521, 0.5453032172664104, 0.6183860093330874, 2.5298479650686514)",0.739055335521698,0.01885308511555195,0.001944664478301994,EMSC,60,0.1579076234172584,5,1,0.4868777594207297,0.6163856702151521,0.5453032172664104,0.6183860093330874,2.5298479650686514
0,,"(408, 0.05584700216998298, 8, 6, 0.22291637642679563, 0.5499874579090015, 0.7296244459829336, 0.3337086111390219, 1.5714672716877631)",0.4177263081073761,0.055085428059101105,0.1448160838926239,none,408,0.05584700216998298,8,6,0.22291637642679563,0.5499874579090015,0.7296244459829336,0.3337086111390219,1.5714672716877631
1,,"(66, 0.08005000717648678, 6, 8, 0.12481513922893629, 0.6148468732258193, 0.8177276154613904, 0.10267289986324234, 2.72598472795971)",0.5007387399673462,0.046001940965652466,0.4583421569673462,none,66,0.08005000717648678,6,8,0.12481513922893629,0.6148468732258193,0.8177276154613904,0.10267289986324234,2.72598472795971
2,,"(484, 0.18250324005831875, 4, 4, 0.08263346953150126, 0.507818203370597, 0.7117007403531849, 0.3948815181755698, 2.173952698872153)",0.62026047706604,0.07603650540113449,0.28649018893395994,none,484,0.18250324005831875,4,4,0.08263346953150126,0.507818203370597,0.7117007403531849,0.3948815181755698,2.173952698872153
3,,"(484, 0.18250324005831875, 4, 4, 0.08263346953150126, 0.507818203370597, 0.7117007403531849, 0.3948815181755698, 2.173952698872153)",0.4318043291568756,0.03841207176446915,0.13577257084312444,none,484,0.18250324005831875,4,4,0.08263346953150126,0.507818203370597,0.7117007403531849,0.3948815181755698,2.173952698872153
4,,"(484, 0.18250324005831875, 4, 4, 0.08263346953150126, 0.507818203370597, 0.7117007403531849, 0.3948815181755698, 2.173952698872153)",0.4068964719772339,0.07775328308343887,0.36698786502276615,none,484,0.18250324005831875,4,4,0.08263346953150126,0.507818203370597,0.7117007403531849,0.3948815181755698,2.173952698872153
5,,"(360, 0.2994253302730523, 9, 5, 0.26275280210549506, 0.5031708520385373, 0.7591847199894128, 0.5251989475027552, 2.1325470733929066)",0.4325603246688843,0.11438436061143875,0.3396398416688843,none,360,0.2994253302730523,9,5,0.26275280210549506,0.5031708520385373,0.7591847199894128,0.5251989475027552,2.1325470733929066
6,,"(492, 0.14056210508114603, 9, 7, 0.22524962598477155, 0.5066324805799333, 0.9711008778424265, 0.5632882178455394, 2.541666010159665)",0.4671492576599121,0.0061895777471363544,0.03155931334008788,none,492,0.14056210508114603,9,7,0.22524962598477155,0.5066324805799333,0.9711008778424265,0.5632882178455394,2.541666010159665
7,,"(437, 0.2994145858200634, 5, 7, 0.2133563537558093, 0.5240895769108179, 0.7608054907616223, 0.36201617934503655, 1.1862152999134357)",0.4338674545288086,0.0999489426612854,0.1564880935288086,none,437,0.2994145858200634,5,7,0.2133563537558093,0.5240895769108179,0.7608054907616223,0.36201617934503655,1.1862152999134357
8,,"(390, 0.1281216064728822, 4, 6, 0.015656646227779295, 0.9211423872974993, 0.7248770666848829, 0.39515023600181454, 4.706635463175178)",0.6481128931045532,0.10695980489253998,0.4301252601045532,none,390,0.1281216064728822,4,6,0.015656646227779295,0.9211423872974993,0.7248770666848829,0.39515023600181454,4.706635463175178
9,,"(330, 0.27280126995652326, 5, 9, 0.4341087917017782, 0.5056890457111534, 0.565001213093197, 0.043919139243363665, 1.6897510023485727)",0.45324039459228516,0.03184553235769272,0.07968950840771483,none,330,0.27280126995652326,5,9,0.4341087917017782,0.5056890457111534,0.565001213093197,0.043919139243363665,1.6897510023485727
10,,"(390, 0.1281216064728822, 4, 6, 0.015656646227779295, 0.9211423872974993, 0.7248770666848829, 0.39515023600181454, 4.706635463175178)",0.6205381751060486,0.21469858288764954,0.12046182489395141,none,390,0.1281216064728822,4,6,0.015656646227779295,0.9211423872974993,0.7248770666848829,0.39515023600181454,4.706635463175178
