fold,preproc,mode_hp,global_pred_mean,global_pred_std,global_rmse,chain,n_estimators,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda
0,,"(50, 0.001, 2, 1, 0.5, 1.0, 1.0, 1.0, 5.0)",0.5493671,0.002945278,0.01317532180194092,none,50,0.001,2,1,0.5,1.0,1.0,1.0,5.0
1,,"(50, 0.001, 2, 1, 0.5, 1.0, 1.0, 1.0, 5.0)",0.5604561,0.0041628163,0.518059514126007,none,50,0.001,2,1,0.5,1.0,1.0,1.0,5.0
2,,"(50, 0.001, 2, 1, 0.5, 1.0, 1.0, 1.0, 5.0)",0.55636626,0.0,0.3503844011799011,none,50,0.001,2,1,0.5,1.0,1.0,1.0,5.0
3,,"(50, 0.001, 2, 1, 0.5, 1.0, 1.0, 1.0, 5.0)",0.5487077,0.0,0.01886917638244634,none,50,0.001,2,1,0.5,1.0,1.0,1.0,5.0
4,,"(50, 0.001, 2, 1, 0.5, 1.0, 1.0, 1.0, 5.0)",0.54462975,0.0,0.22925458436404422,none,50,0.001,2,1,0.5,1.0,1.0,1.0,5.0
5,,"(50, 0.001, 2, 1, 0.5, 1.0, 1.0, 1.0, 5.0)",0.5625532,0.006544619,0.4696327439477844,none,50,0.001,2,1,0.5,1.0,1.0,1.0,5.0
6,,"(50, 0.001, 2, 1, 0.5, 1.0, 1.0, 1.0, 5.0)",0.5516265,0.0,0.052917932467559825,none,50,0.001,2,1,0.5,1.0,1.0,1.0,5.0
7,,"(50, 0.001, 2, 1, 0.5, 1.0, 1.0, 1.0, 5.0)",0.5557792,0.002694133,0.27839985767370606,none,50,0.001,2,1,0.5,1.0,1.0,1.0,5.0
8,,"(50, 0.001, 2, 1, 0.5, 1.0, 1.0, 1.0, 5.0)",0.5601273,0.0066145826,0.342139684905426,none,50,0.001,2,1,0.5,1.0,1.0,1.0,5.0
9,,"(50, 0.001, 2, 1, 0.5, 1.0, 1.0, 1.0, 5.0)",0.5499803,0.0,0.017050379783508318,none,50,0.001,2,1,0.5,1.0,1.0,1.0,5.0
10,,"(50, 0.001, 2, 1, 0.5, 1.0, 1.0, 1.0, 5.0)",0.55371547,0.008495568,0.18728453254699706,none,50,0.001,2,1,0.5,1.0,1.0,1.0,5.0
0,Normalization,"(50, 0.001, 4, 1, 0.37193442480823136, 0.5, 0.9698778384087898, 0.9737339392492487, 4.112784843624983)",0.5500842,0.0022250363,0.012458218320648196,Normalization,50,0.001,4,1,0.37193442480823136,0.5,0.9698778384087898,0.9737339392492487,4.112784843624983
