Type,Treated,Treated,Treated,Treated,Treated,Treated,Treated,Treated,Treated,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,,
292.949,2063.36,2882.71,2848,2142.71,2085,1922.57,2162.93,1922.43,2249.07,2784.86,2532.36,2745.64,2640.79,2357.86,2387.71,2591.64,2652.5,2716.93,394.214,395.286,395.714,611.071,587.5,585.643,480.286,500.286,523.143,,
294.743,2081.07,2888.93,2854.71,2151.79,2082.5,1931.43,2160.36,1933.79,2260,2780.93,2534,2745.43,2629.14,2364,2380.29,2575.79,2637.93,2717.07,398.286,390.214,391.929,609.214,596,582.071,482.357,506.714,523.857,,
296.54,2066.36,2879.43,2869.07,2136,2082.64,1928,2154,1933.71,2241.79,2764,2509.79,2738.79,2632.71,2347.93,2377.21,2603.07,2637.43,2694.57,393.857,390.857,391.429,607.643,589.571,580.571,475.143,504.357,521.143,,
298.334,2049.93,2891.14,2860.93,2144.79,2075.57,1921.14,2162.36,1922.29,2233.57,2765.86,2528,2728.43,2628.79,2325.21,2383.43,2580.93,2628.79,2688.07,391.929,384.357,390,601.143,588.786,584.143,486,507.643,520.571,,
300.128,2072.57,2893.21,2855.79,2135.07,2079.43,1917.5,2163,1938.5,2246.43,2766.71,2523.71,2728.14,2634,2339.64,2365.57,2572.29,2628.36,2681.36,390.929,392.286,392.143,611.571,582.714,577.929,480.357,514.143,529.429,,
301.921,2071.71,2876,2856.29,2131.14,2074.79,1914.57,2165.57,1920.86,2226.14,2757,2527.64,2718.71,2622.79,2338.21,2361.07,2555.71,2644.64,2684.36,391,384.286,384.286,614,584.929,585.714,490.143,497.5,527.857,,
303.714,2060.29,2866.14,2847.14,2119.07,2082.93,1911.93,2160.71,1912.5,2232,2752.14,2506.21,2726.21,2612.57,2345.93,2373.36,2560.79,2638.29,2672.14,388.929,391.714,381.857,611.357,587.357,580.571,491.857,509.857,526.5,,
305.509,2050.93,2870.71,2857.36,2117.29,2072.79,1901.29,2165.71,1929.71,2229.79,2747.07,2510.93,2710.86,2618.93,2340.93,2352.57,2571,2625.64,2663.36,392.214,383.929,386.429,610.857,582.357,582.929,483,502.857,519.929,,
307.301,2046,2884.21,2851,2118.21,2063.5,1894.86,2144.5,1922.93,2209,2756.5,2504.57,2713.5,2614.86,2324.07,2364.21,2564.71,2621,2683.79,389.714,392,398.786,614.5,581.857,583.857,480.214,503.357,523.214,,
309.093,2040.93,2871.86,2841,2119.43,2073.21,1886.29,2131.93,1903,2210.93,2771.79,2508.43,2709.57,2608.79,2319.07,2359.79,2553.36,2616.57,2656.79,385.929,388.714,391.714,603.714,586.857,584.643,490,502.643,518.143,,
310.885,2045,2875.93,2826.14,2088.79,2058.07,1888.21,2141.07,1915.57,2216.07,2741.07,2505.64,2712.93,2611.21,2313.86,2365.71,2561.86,2624.79,2661.71,391.214,388.286,394.429,610.286,584.214,576.214,474,502.429,523.357,,
312.676,2031.14,2871.93,2811.07,2118.07,2047.57,1879.93,2131.64,1918.21,2224.64,2748.93,2498.64,2728.29,2614.21,2323.57,2378.79,2562.79,2626,2667.79,388.286,386,388.571,602.571,594.786,579.143,487.571,511.857,525.214,,
314.469,2023.57,2867.29,2827.71,2111.57,2058,1890,2129.86,1913.43,2214,2747.43,2478.07,2681.14,2598.57,2307.43,2349.36,2550.21,2615.93,2657.36,392.429,382.357,393.714,606.857,585.429,576.643,478.714,505.071,518.5,,
316.26,2022.93,2862.93,2823.86,2094.5,2057.5,1874.21,2151.64,1916.36,2218,2742.57,2505.36,2712.43,2609.43,2314.36,2355.64,2553.71,2600.86,2662.43,395.143,391.286,396.143,602,586.571,577.214,477.071,507.714,524.572,,
318.05,2044.64,2875.64,2830.71,2114.29,2052.43,1884.21,2125.43,1900.43,2222.93,2730,2493,2717.29,2616.86,2316.93,2361.71,2545.29,2620.29,2662.29,394.714,390.429,395.929,603.714,586.5,578.929,491.286,506.286,533.5,,
319.84,2035.07,2861.86,2847.07,2098.86,2065.86,1896,2148.64,1919.14,2219.21,2725.5,2496.21,2696.5,2597.43,2317,2363.21,2550,2612.07,2676.29,390.357,383.714,395,609.143,590.929,580.071,488.786,509.5,526.5,,
321.63,2021.93,2863.21,2821.71,2117.43,2063.07,1896.43,2130.86,1907.43,2226.79,2751.79,2500.14,2710.93,2599,2293.79,2368.14,2549.21,2603.29,2652,395.929,393.429,388.143,603.286,589.929,583.071,487.214,506.286,529.643,,
323.419,2031.79,2863.79,2839,2097.07,2058.14,1883.14,2152.57,1917.5,2222.36,2743.79,2493.5,2703.36,2614.86,2324,2364.64,2549.57,2602.93,2652.64,386.643,381.429,382.214,603,591.429,577,485.286,504.786,528.929,,
325.208,2038,2873.86,2831.71,2098.93,2056.5,1883.71,2139.29,1903.71,2220.43,2733.43,2479.14,2701.29,2606.07,2315.93,2359,2545.57,2635.64,2674.71,385.429,388.429,385.286,610.357,591.5,571.429,480.143,510.286,522.286,,
326.997,2027.64,2859.79,2828.21,2094.14,2061.79,1874.29,2131.71,1911.43,2226.64,2750.36,2490.71,2698.36,2608.86,2312.71,2355.79,2546.79,2615.07,2647.07,388.714,382.643,391.143,611.857,588.5,573.571,480.857,506,519.643,,
328.787,2026.79,2873.07,2837.86,2098.21,2048.57,1868.29,2126.71,1905,2217.21,2723.21,2479.29,2689.43,2615.86,2310.29,2357.43,2522.14,2604.36,2658.93,390,391.857,383.643,611.786,585.929,574.643,487.786,516.143,523.643,,
330.575,2021.21,2857.07,2832.93,2099.21,2041.57,1874.21,2129.14,1902.5,2228.79,2724.5,2461.5,2689.5,2599.86,2307.14,2334.29,2532.21,2608.21,2654.07,391.5,382.357,393.214,602.571,597.357,578.143,486.786,505.571,524.143,,
332.362,2005.07,2862.64,2820.43,2104,2055.57,1880.71,2138.14,1896.43,2219.64,2714.36,2478.5,2687.79,2594.5,2300.07,2340.14,2536.21,2597.43,2636.5,390.929,382.286,388.357,603,589.071,574.143,481,501.357,521.643,,
334.149,2023.57,2874.71,2837.14,2102.36,2050.07,1876.07,2115.64,1895.79,2207.29,2716.14,2472.14,2682.71,2594.36,2324.21,2364.71,2535.93,2600.21,2628.79,393.643,383.286,393.643,614.286,593.857,580.714,492.929,506.643,532.643,,
335.936,2013,2877.5,2817.14,2095.79,2052,1861.79,2119.21,1900.71,2221.5,2718.79,2459.57,2698.64,2590.57,2303.86,2348,2509.64,2584.57,2622.07,387.786,384.571,393.714,608.429,603.929,585.857,486.143,499.857,523.5,,
337.723,2014.64,2879.5,2833.86,2082.29,2057,1865,2134.14,1895.71,2216.21,2713.57,2474.57,2685,2586.14,2306.07,2344.07,2525.21,2600.93,2627.14,396.143,391.143,391.429,609.714,591.429,581.643,485.357,508.643,528.429,,
339.509,2027.79,2867.07,2831.29,2088.57,2053.71,1867,2143.79,1901.93,2216.43,2721.64,2466.5,2703.57,2603.57,2305.43,2337.86,2521,2578.71,2639.57,394.929,392.929,385.857,609.286,591.786,586.786,485.357,505.857,520.643,,
341.294,2019.79,2882.21,2821,2090.43,2032.64,1860.79,2141.57,1903.43,2218.29,2728.29,2463.57,2694.57,2605.93,2306,2317.57,2513.14,2592.29,2624.36,396.929,390.429,392.857,607.214,594.643,586.429,485.143,509.571,531.286,,
343.08,2024.36,2881.07,2843.29,2092.79,2053.14,1874.71,2140.79,1900.86,2221.36,2722.86,2480.71,2698.64,2609,2318.43,2332.86,2544.64,2591.36,2646.29,396.5,391.429,391.714,608.429,593.071,590.071,484.929,499.643,530.214,,
344.865,2028.36,2890.79,2834.29,2092.43,2036.79,1866.21,2133.21,1898.57,2234.86,2719.29,2471.07,2700.43,2626.21,2319.36,2368.64,2544.36,2582.21,2634.64,394.429,387.571,393.357,615.143,594.714,581.286,494.929,511.429,525.714,,
346.65,2019.36,2896,2863.5,2088.64,2046.21,1877.79,2151.64,1916.64,2238.57,2709.21,2460.93,2718.43,2604.93,2337.86,2343.14,2528.36,2593.29,2651.79,391.143,391.071,392.143,619.857,596.786,586.857,494.286,515.5,534.214,,
